Year,Region,School,School_Key,Measure_Code,Measure_Name,min,max,mean,count,Subgroup_Gap
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,math,Math Instruction,69,69,69,1,0
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,humr,Human & Social Resources in the Community,55,55,55,1,0
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,perc,Academic Personalism,42,42,42,1,0
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,safe1,Safety,62,62,62,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,scie,Inquiry-Based Science Instruction,36,36,36,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,rigr,Classroom Rigor,18,18,18,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,pres,Academic Press,36,36,36,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,perc,Academic Personalism,22,22,22,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,peer,Student Peer Relationships,22,22,22,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,math,Math Instruction,27,27,27,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,humr,Human & Social Resources in the Community,36,36,36,1,0
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,futr,Importance of High School for the Future,67,67,67,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,engg,Academic Engagement,41,41,41,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,clar,Course Clarity,6,6,6,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,acno,Peer Support for Academic Work,36,36,36,1,0
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,trts,Student-Teacher Trust,13,13,13,1,0
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,stdy,Rigorous Study Habits,1,1,1,1,0
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,scie,Inquiry-Based Science Instruction,37,37,37,1,0
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,rigr,Classroom Rigor,8,8,8,1,0
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,pres,Academic Press,36,36,36,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,engl,English Instruction,50,50,50,1,0
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,engl,English Instruction,48,48,48,1,0
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,engg,Academic Engagement,61,61,61,1,0
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,clar,Course Clarity,47,47,47,1,0
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,acno,Peer Support for Academic Work,53,53,53,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,trts,Student-Teacher Trust,22,22,22,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,stdy,Rigorous Study Habits,27,27,27,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,safe1,Safety,26,26,26,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,stdy,Rigorous Study Habits,28,28,28,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,pres,Academic Press,43,43,43,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,perc,Academic Personalism,42,42,42,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,peer,Student Peer Relationships,24,24,24,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,math,Math Instruction,38,38,38,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,engl,English Instruction,53,53,53,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,engg,Academic Engagement,47,47,47,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,acno,Peer Support for Academic Work,26,26,26,1,0
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,trts,Student-Teacher Trust,10,10,10,1,0
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,rigr,Classroom Rigor,35,35,35,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,scie,Inquiry-Based Science Instruction,39,39,39,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,safe1,Safety,41,41,41,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,rigr,Classroom Rigor,26,26,26,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,prs2,Parent Supportiveness,36,36,36,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,pres,Academic Press,26,26,26,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,perc,Academic Personalism,20,20,20,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,peer,Student Peer Relationships,33,33,33,1,0
2026,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,acno,Peer Support for Academic Work,27,27,27,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,humr,Human & Social Resources in the Community,33,33,33,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,engl,English Instruction,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,engg,Academic Engagement,30,30,30,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,clar,Course Clarity,28,28,28,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,acno,Peer Support for Academic Work,24,24,24,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,trts,Student-Teacher Trust,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,stdy,Rigorous Study Habits,35,35,35,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,scie,Inquiry-Based Science Instruction,49,49,49,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,math,Math Instruction,28,28,28,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,acno,Peer Support for Academic Work,33,33,33,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,trts,Student-Teacher Trust,57,57,57,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,stdy,Rigorous Study Habits,62,62,62,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,scie,Inquiry-Based Science Instruction,61,61,61,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,safe1,Safety,66,66,66,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,rigr,Classroom Rigor,56,56,56,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,prs2,Parent Supportiveness,77,77,77,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,pres,Academic Press,38,38,38,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,stdy,Rigorous Study Habits,25,25,25,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,peer,Student Peer Relationships,62,62,62,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,math,Math Instruction,44,44,44,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,humr,Human & Social Resources in the Community,62,62,62,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,engl,English Instruction,49,49,49,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,engg,Academic Engagement,42,42,42,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,clar,Course Clarity,60,60,60,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,acno,Peer Support for Academic Work,38,38,38,1,0
2026,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,trts,Student-Teacher Trust,23,23,23,1,0
2026,Unassigned,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,perc,Academic Personalism,60,60,60,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,perc,Academic Personalism,37,37,37,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,peer,Student Peer Relationships,39,39,39,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,math,Math Instruction,35,35,35,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,humr,Human & Social Resources in the Community,35,35,35,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,engl,English Instruction,46,46,46,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,engg,Academic Engagement,41,41,41,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,clar,Course Clarity,28,28,28,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,safe1,Safety,34,34,34,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,trts,Student-Teacher Trust,40,40,40,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,stdy,Rigorous Study Habits,42,42,42,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,slap,School-Wide Future Orientation,51,51,51,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,scie,Inquiry-Based Science Instruction,29,29,29,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,safe1,Safety,39,39,39,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,rigr,Classroom Rigor,45,45,45,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,prs2,Parent Supportiveness,47,47,47,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,pres,Academic Press,47,47,47,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,acno,Peer Support for Academic Work,44,44,44,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,rigr,Classroom Rigor,26,26,26,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,prs2,Parent Supportiveness,51,51,51,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,pres,Academic Press,36,36,36,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,perc,Academic Personalism,40,40,40,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,peer,Student Peer Relationships,28,28,28,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,math,Math Instruction,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,humr,Human & Social Resources in the Community,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,engl,English Instruction,43,43,43,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,pres,Academic Press,35,35,35,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,clar,Course Clarity,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,acno,Peer Support for Academic Work,28,28,28,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,trts,Student-Teacher Trust,27,27,27,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,stdy,Rigorous Study Habits,52,52,52,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,scie,Inquiry-Based Science Instruction,45,45,45,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,safe1,Safety,36,36,36,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,rigr,Classroom Rigor,29,29,29,1,0
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,prs2,Parent Supportiveness,46,46,46,1,0
2026,Unassigned,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,engg,Academic Engagement,38,38,38,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,peer,Student Peer Relationships,34,34,34,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,math,Math Instruction,29,29,29,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,humr,Human & Social Resources in the Community,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,engl,English Instruction,36,36,36,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,engg,Academic Engagement,34,34,34,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,clar,Course Clarity,1,1,1,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,acno,Peer Support for Academic Work,17,17,17,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,clar,Course Clarity,39,39,39,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,stdy,Rigorous Study Habits,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,scie,Inquiry-Based Science Instruction,49,49,49,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,safe1,Safety,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,rigr,Classroom Rigor,44,44,44,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,prs2,Parent Supportiveness,54,54,54,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,clar,Course Clarity,28,28,28,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,peer,Student Peer Relationships,20,20,20,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,math,Math Instruction,64,64,64,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,trts,Student-Teacher Trust,26,26,26,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,stdy,Rigorous Study Habits,71,71,71,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,safe1,Safety,62,62,62,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,rigr,Classroom Rigor,68,68,68,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,pres,Academic Press,57,57,57,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,perc,Academic Personalism,82,82,82,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,peer,Student Peer Relationships,70,70,70,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,math,Math Instruction,53,53,53,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,engl,English Instruction,53,53,53,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,perc,Academic Personalism,27,27,27,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,acno,Peer Support for Academic Work,76,76,76,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,trts,Student-Teacher Trust,22,22,22,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,stdy,Rigorous Study Habits,23,23,23,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,scie,Inquiry-Based Science Instruction,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,safe1,Safety,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,rigr,Classroom Rigor,25,25,25,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,prs2,Parent Supportiveness,29,29,29,1,0
2026,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,pres,Academic Press,27,27,27,1,0
2026,Unassigned,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,engg,Academic Engagement,68,68,68,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,stdy,Rigorous Study Habits,18,18,18,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,scie,Inquiry-Based Science Instruction,21,21,21,1,0
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,trts,Student-Teacher Trust,31,31,31,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,pres,Academic Press,24,24,24,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,perc,Academic Personalism,32,32,32,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,peer,Student Peer Relationships,4,4,4,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,math,Math Instruction,52,52,52,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,humr,Human & Social Resources in the Community,44,44,44,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,humr,Human & Social Resources in the Community,35,35,35,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,engg,Academic Engagement,61,61,61,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,pres,Academic Press,37,37,37,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,perc,Academic Personalism,39,39,39,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,peer,Student Peer Relationships,45,45,45,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,math,Math Instruction,38,38,38,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,humr,Human & Social Resources in the Community,31,31,31,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,engl,English Instruction,32,32,32,1,0
2026,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,engg,Academic Engagement,44,44,44,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,engl,English Instruction,58,58,58,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,engl,English Instruction,49,49,49,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,engg,Academic Engagement,41,41,41,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,clar,Course Clarity,18,18,18,1,0
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,acno,Peer Support for Academic Work,30,30,30,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,trts,Student-Teacher Trust,34,34,34,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,stdy,Rigorous Study Habits,22,22,22,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,scie,Inquiry-Based Science Instruction,74,74,74,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,rigr,Classroom Rigor,40,40,40,1,0
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,trts,Student-Teacher Trust,8,8,8,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,perc,Academic Personalism,51,51,51,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,peer,Student Peer Relationships,47,47,47,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,math,Math Instruction,68,68,68,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,humr,Human & Social Resources in the Community,65,65,65,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,engl,English Instruction,47,47,47,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,engg,Academic Engagement,69,69,69,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,clar,Course Clarity,51,51,51,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,acno,Peer Support for Academic Work,52,52,52,1,0
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,pres,Academic Press,47,47,47,1,0
2026,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,engg,Academic Engagement,52,52,52,1,0
2026,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,clar,Course Clarity,41,41,41,1,0
2026,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,acno,Peer Support for Academic Work,46,46,46,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,trts,Student-Teacher Trust,37,37,37,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,stdy,Rigorous Study Habits,59,59,59,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,scie,Inquiry-Based Science Instruction,49,49,49,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,safe1,Safety,48,48,48,1,0
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,perc,Academic Personalism,54,54,54,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,prs2,Parent Supportiveness,82,82,82,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,pres,Academic Press,45,45,45,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,perc,Academic Personalism,41,41,41,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,peer,Student Peer Relationships,47,47,47,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,math,Math Instruction,50,50,50,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,humr,Human & Social Resources in the Community,49,49,49,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,engl,English Instruction,54,54,54,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,engg,Academic Engagement,61,61,61,1,0
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,rigr,Classroom Rigor,50,50,50,1,0
2026,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,perc,Academic Personalism,27,27,27,1,0
